Departamento,Capital,Gob_PDF,Cap_PDF
AMAZONAS,LETICIA,PETI Amazonas 2020-2023 .pdf,Leticia.pdf
ANTIOQUIA,MEDELLIN,PETI Antioquia -2024-2027 .pdf,medellin.pdf
ARAUCA,ARAUCA,PETI Arauca 2023.pdf,Arauca.pdf
ATLÁNTICO,BARRANQUILLA,PETI Atlántico 2022-2023.pdf,Barranquilla.pdf
BOLÍVAR,CARTAGENA,PETI Bolivar  2024-2027.pdf,Cartagena.pdf
BOYACÁ,TUNJA,PETI Boyacá.pdf,Tunja2018.pdf
CALDAS,MANIZALES,PETIC Caldas 2020 - 2023 .pdf,Manizales2022.pdf
CAQUETÁ,FLORENCIA,PETI Caquetá.pdf,Florencia2021.pdf
CASANARE,YOPAL,PETI Casanare 2020.pdf,Yopal.pdf
CAUCA,POPAYAN,PETI Valle del Cauca 2021 .pdf,Popayan.pdf
CESAR,VALLEDUPAR,PETI Cesar - 2024.pdf,Valledupar.pdf
CHOCÓ,QUIBDO,NO,Quibdo.pdf
CÓRDOBA,MONTERIA,NO,Monteria.pdf
CUNDINAMARCA,BOGOTA,PETI Cundinamarca 2024.pdf,Bogota.pdf
GUAINÍA,INIRIDA,NO,NO
GUAVIARE,SAN JOSE DEL GUAVIARE,PERI Guaviare 2022.pdf,San jose del Guaviare.pdf
HUILA,NEIVA,PETI Huila 2020- 2023.pdf,Neiva.pdf
LA GUAJIRA,RIOHACHA,NO,NO
MAGDALENA,SANTA MARTA,PETI Magdalena 2022 -2023.pdf,Santa Marta.pdf
META,VILLAVICENCIO,PETI Meta 2020-2023.pdf,NO
NARIÑO,PASTO,PETO Nariño 2023.pdf,Pasto.pdf
NORTE DE SANTANDER,CUCUTA,PETI Norte de Santander 2023.pdf,Cucuta.pdf
PUTUMAYO,MOCOA,PETI Putumayo 2018.pdf,Mocoa.pdf
QUINDÍO,ARMENIA,PETI Quindio 2022.pdf,Armenia.pdf
RISARALDA,PEREIRA,PETI Risaralda 2023.pdf,Pereira2019.pdf
SAN ANDRÉS Y PROVIDENCIA,SAN ANDRES,PETI San Andres y Providencia 2023.pdf,San andres.pdf
SANTANDER,BUCARAMANGA,PETI Norte de Santander 2023.pdf,Bucaramanga.pdf
SUCRE,SINCELEJO,NO,SIncelejo.pdf
TOLIMA,IBAGUE,PETI Tolima 2020 -2023.pdf,Ibague.pdf
VALLE DEL CAUCA,CALI,PETI Valle del Cauca 2021 .pdf,Cali.pdf
VAUPÉS,MITU,PEDCT Vaupes .pdf,Mitu.pdf
VICHADA,PUERTO CARREÑO,PETI Vichada 2020-2023.pdf,NO
